@relation krkopt-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N4-R43-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}

@data
-1.732051,8.660254,-1.732051,1.732051,draw
-1.732051,3.464102,-1.732051,3.464102,draw
-1.732051,1.732051,-3.464102,3.464102,draw
-1.732051,3.464102,-3.464102,3.464102,draw
-1.732051,3.464102,-1.732051,3.464102,draw
-1.732051,6.928203,-1.732051,3.464102,draw
-1.732051,3.464102,-3.464102,3.464102,draw
-1.732051,5.196152,-3.464102,3.464102,draw
-1.732051,6.928203,-3.464102,3.464102,draw
-1.732051,6.928203,-1.732051,3.464102,draw
-1.732051,6.928203,-3.464102,3.464102,draw
-1.732051,8.660254,-3.464102,3.464102,draw
-1.732051,10.392305,-3.464102,3.464102,draw
-1.732051,10.392305,-3.464102,3.464102,draw
0,3.464102,-1.732051,0,draw
0,5.196152,-1.732051,0,draw
0,5.196152,-3.464102,0,draw
0,3.464102,-3.464102,1.732051,draw
0,5.196152,-3.464102,1.732051,draw
0,5.196152,-1.732051,0,draw
0,6.928203,-1.732051,0,draw
0,8.660254,-1.732051,0,draw
0,5.196152,-3.464102,0,draw
0,8.660254,-3.464102,0,draw
0,5.196152,-3.464102,1.732051,draw
0,6.928203,-3.464102,1.732051,draw
0,8.660254,-3.464102,1.732051,draw
0,8.660254,-1.732051,0,draw
0,10.392305,-1.732051,0,draw
0,8.660254,-3.464102,0,draw
0,12.124356,-3.464102,0,draw
0,8.660254,-3.464102,1.732051,draw
0,10.392305,-3.464102,1.732051,draw
0,12.124356,-3.464102,1.732051,draw
0,12.124356,-1.732051,0,draw
0,12.124356,-3.464102,0,draw
0,12.124356,-3.464102,1.732051,draw
0,13.856406,-3.464102,1.732051,draw
0,15.588457,-3.464102,1.732051,draw
0,15.588457,-3.464102,1.732051,draw
-1.732051,5.196152,-3.464102,1.732051,draw
-1.732051,6.928203,-3.464102,1.732051,draw
-1.732051,6.928203,-3.464102,3.464102,draw
-1.732051,6.928203,-1.732051,1.732051,draw
-1.732051,8.660254,-1.732051,1.732051,draw
-1.732051,6.928203,-3.464102,1.732051,draw
-1.732051,8.660254,-3.464102,1.732051,draw
-1.732051,10.392305,-3.464102,1.732051,draw
-1.732051,6.928203,-3.464102,3.464102,draw
-1.732051,10.392305,-3.464102,3.464102,draw
-1.732051,8.660254,-1.732051,1.732051,draw
-1.732051,10.392305,-1.732051,1.732051,draw
