@relation krkopt-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N4-R119-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute optimalwindepth {draw,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen}

@data
1.732051,-1.732051,3.464102,1.732051,draw
3.464102,-3.464102,0,1.732051,draw
1.732051,-1.732051,1.732051,1.732051,draw
3.464102,-3.464102,0,1.732051,draw
0,-1.732051,3.464102,1.732051,draw
3.464102,-5.196152,0,1.732051,draw
0,-1.732051,3.464102,1.732051,draw
1.732051,-3.464102,1.732051,1.732051,draw
3.464102,-5.196152,0,1.732051,draw
-0,-3.464102,3.464102,1.732051,draw
-0,-3.464102,3.464102,1.732051,draw
1.732051,-5.196152,1.732051,1.732051,draw
3.464102,-6.928203,0,1.732051,draw
0,-5.196152,3.464102,1.732051,draw
3.464102,-3.464102,1.732051,1.732051,draw
5.196152,-5.196152,0,1.732051,draw
5.196152,-5.196152,0,1.732051,draw
5.196152,-1.732051,3.464102,1.732051,draw
6.928203,-3.464102,1.732051,1.732051,draw
1.732051,-3.464102,3.464102,1.732051,draw
3.464102,-5.196152,1.732051,1.732051,draw
5.196152,-6.928203,0,1.732051,draw
1.732051,-3.464102,3.464102,1.732051,draw
5.196152,-6.928203,0,1.732051,draw
3.464102,-1.732051,5.196152,1.732051,draw
5.196152,-3.464102,3.464102,1.732051,draw
6.928203,-5.196152,1.732051,1.732051,draw
1.732051,-5.196152,3.464102,1.732051,draw
3.464102,-6.928203,1.732051,1.732051,draw
1.732051,-5.196152,3.464102,1.732051,draw
5.196152,-8.660254,0,1.732051,draw
3.464102,-3.464102,5.196152,1.732051,draw
5.196152,-5.196152,3.464102,1.732051,draw
6.928203,-6.928203,1.732051,1.732051,draw
1.732051,-6.928203,3.464102,1.732051,draw
1.732051,-6.928203,3.464102,1.732051,draw
3.464102,-5.196152,5.196152,1.732051,draw
5.196152,-6.928203,3.464102,1.732051,draw
6.928203,-8.660254,1.732051,1.732051,draw
3.464102,-6.928203,5.196152,1.732051,draw
1.732051,0,1.732051,1.732051,draw
3.464102,-1.732051,0,1.732051,draw
5.196152,0,1.732051,1.732051,draw
1.732051,0,1.732051,1.732051,draw
3.464102,-1.732051,0,1.732051,draw
0,0,3.464102,1.732051,draw
1.732051,-1.732051,1.732051,1.732051,draw
3.464102,-3.464102,0,1.732051,draw
1.732051,1.732051,5.196152,1.732051,draw
5.196152,-1.732051,1.732051,1.732051,draw
0,0,3.464102,1.732051,draw
1.732051,-1.732051,1.732051,1.732051,draw
3.464102,-3.464102,0,1.732051,draw
-0,-1.732051,3.464102,1.732051,draw
1.732051,-3.464102,1.732051,1.732051,draw
3.464102,-5.196152,0,1.732051,draw
1.732051,0,5.196152,1.732051,draw
5.196152,-3.464102,1.732051,1.732051,draw
-0,-1.732051,3.464102,1.732051,draw
1.732051,-3.464102,1.732051,1.732051,draw
3.464102,-5.196152,0,1.732051,draw
0,-3.464102,3.464102,1.732051,draw
1.732051,-5.196152,1.732051,1.732051,draw
1.732051,-1.732051,5.196152,1.732051,draw
5.196152,-5.196152,1.732051,1.732051,draw
0,-3.464102,3.464102,1.732051,draw
1.732051,-5.196152,1.732051,1.732051,draw
3.464102,-6.928203,0,1.732051,draw
0,-5.196152,3.464102,1.732051,draw
1.732051,-3.464102,5.196152,1.732051,draw
0,-5.196152,3.464102,1.732051,draw
1.732051,-6.928203,1.732051,1.732051,draw
3.464102,-8.660254,-0,1.732051,draw
-0,-6.928203,3.464102,1.732051,draw
3.464102,0,1.732051,1.732051,draw
5.196152,-1.732051,0,1.732051,draw
3.464102,-3.464102,-1.732051,1.732051,draw
1.732051,-1.732051,0,0,draw
3.464102,-3.464102,-1.732051,0,draw
1.732051,0,3.464102,1.732051,draw
3.464102,-1.732051,1.732051,1.732051,draw
5.196152,-3.464102,0,1.732051,draw
0,-1.732051,1.732051,1.732051,draw
3.464102,-5.196152,-1.732051,1.732051,draw
0,-1.732051,1.732051,0,draw
1.732051,-3.464102,0,0,draw
