accuracy, i_max_iter, i_k
0.882, 1000, 10000
0.889, 1000, 10000
0.872, 1000, 10000
0.886, 1000, 100000
0.895, 1000, 100000
0.884, 1000, 100000
0.891, 1000, 100000
0.901, 1000, 100000
0.891, 1000, 100000
0.883, 1000, 100000
0.884, 1000, 100000
0.869, 1000, 100000
0.886, 1000, 100000
0.051, 1000, 10
0.03, 1000, 10
0.053, 1000, 10
0.046, 1000, 10
0.046, 1000, 10
0.046, 1000, 10
0.027, 1000, 10
0.058, 1000, 10
0.039, 1000, 10
0.037, 1000, 10
0.884, 1000, 100
0.879, 1000, 100
0.88, 1000, 100
0.87, 1000, 100
0.896, 1000, 100
0.88, 1000, 100
0.897, 1000, 100
0.88, 1000, 100
0.895, 1000, 100
0.88, 1000, 100
0.863, 1000, 1000
0.873, 1000, 1000
0.893, 1000, 1000
0.891, 1000, 1000
0.877, 1000, 1000
0.877, 1000, 1000
0.873, 1000, 1000
0.892, 1000, 1000
0.888, 1000, 1000
0.872, 1000, 1000
0.888, 1000, 10000
0.884, 1000, 10000
0.902, 1000, 10000
0.878, 1000, 10000
0.888, 1000, 10000
0.889, 1000, 10000
0.892, 1000, 10000
0.876, 1000, 10000
0.875, 1000, 10000
0.891, 1000, 10000
0.865, 1000, 100000
0.883, 1000, 100000
0.907, 1000, 100000
0.894, 1000, 100000
0.877, 1000, 100000
0.886, 1000, 100000
0.883, 1000, 100000
0.9, 1000, 100000
0.885, 1000, 100000
0.871, 1000, 100000
0.044, 1000, 10
0.045, 1000, 10
0.041, 1000, 10
0.041, 1000, 10
0.038, 1000, 10
0.043, 1000, 10
0.054, 1000, 10
0.052, 1000, 10
0.047, 1000, 10
0.045, 1000, 10
0.886, 1000, 100
0.86, 1000, 100
0.892, 1000, 100
0.873, 1000, 100
0.896, 1000, 100
0.871, 1000, 100
0.891, 1000, 100
0.879, 1000, 100
0.874, 1000, 100
0.9, 1000, 100
0.887, 1000, 1000
0.9, 1000, 1000
0.9, 1000, 1000
0.876, 1000, 1000
0.898, 1000, 1000
0.882, 1000, 1000
0.89, 1000, 1000
0.879, 1000, 1000
0.872, 1000, 1000
0.872, 1000, 1000
0.873, 1000, 10000
0.877, 1000, 10000
0.892, 1000, 10000
0.892, 1000, 10000
0.892, 1000, 10000
0.887, 1000, 10000
0.892, 1000, 10000
0.884, 1000, 10000
0.895, 1000, 10000
0.879, 1000, 10000
0.903, 1000, 100000
0.895, 1000, 100000
0.881, 1000, 100000
0.87, 1000, 100000
0.883, 1000, 100000
0.869, 1000, 100000
0.878, 1000, 100000
0.875, 1000, 100000
0.878, 1000, 100000
0.89, 1000, 100000
0.042, 1000, 10
0.049, 1000, 10
0.044, 1000, 10
0.039, 1000, 10
0.041, 1000, 10
0.043, 1000, 10
0.045, 1000, 10
0.049, 1000, 10
0.042, 1000, 10
0.031, 1000, 10
0.858, 1000, 100
0.879, 1000, 100
0.879, 1000, 100
0.88, 1000, 100
0.877, 1000, 100
0.883, 1000, 100
0.888, 1000, 100
0.886, 1000, 100
0.9, 1000, 100
0.883, 1000, 100
0.889, 1000, 1000
0.898, 1000, 1000
0.88, 1000, 1000
0.884, 1000, 1000
0.883, 1000, 1000
0.893, 1000, 1000
0.887, 1000, 1000
0.893, 1000, 1000
0.88, 1000, 1000
0.882, 1000, 1000
0.871, 1000, 10000
0.886, 1000, 10000
0.894, 1000, 10000
0.902, 1000, 10000
0.905, 1000, 10000
0.891, 1000, 10000
0.898, 1000, 10000
0.883, 1000, 10000
0.892, 1000, 10000
0.892, 1000, 10000
0.889, 1000, 100000
0.896, 1000, 100000
0.895, 1000, 100000
0.896, 1000, 100000
0.907, 1000, 100000
0.884, 1000, 100000
0.892, 1000, 100000
0.909, 1000, 100000
0.879, 1000, 100000
0.885, 1000, 100000
0.047, 1000, 10
0.041, 1000, 10
0.046, 1000, 10
0.051, 1000, 10
0.044, 1000, 10
0.033, 1000, 10
0.044, 1000, 10
0.035, 1000, 10
0.047, 1000, 10
0.048, 1000, 10
0.872, 1000, 100
0.869, 1000, 100
0.903, 1000, 100
0.885, 1000, 100
0.888, 1000, 100
0.871, 1000, 100
0.88, 1000, 100
0.877, 1000, 100
0.871, 1000, 100
0.885, 1000, 100
0.893, 1000, 1000
0.884, 1000, 1000
0.894, 1000, 1000
0.892, 1000, 1000
0.884, 1000, 1000
0.89, 1000, 1000
0.892, 1000, 1000
0.896, 1000, 1000
0.903, 1000, 1000
0.892, 1000, 1000
0.881, 1000, 10000
0.876, 1000, 10000
0.888, 1000, 10000
0.89, 1000, 10000
0.892, 1000, 10000
0.899, 1000, 10000
0.902, 1000, 10000
0.882, 1000, 10000
0.875, 1000, 10000
0.88, 1000, 10000
0.885, 1000, 100000
0.882, 1000, 100000
0.876, 1000, 100000
0.892, 1000, 100000
0.867, 1000, 100000
0.879, 1000, 100000
0.871, 1000, 100000
0.888, 1000, 100000
0.884, 1000, 100000
0.874, 1000, 100000
0.049, 10000, 10
0.05, 10000, 10
0.056, 10000, 10
0.04, 10000, 10
0.043, 10000, 10
0.03, 10000, 10
0.042, 10000, 10
0.04, 10000, 10
0.041, 10000, 10
0.049, 10000, 10
0.883, 10000, 100
0.896, 10000, 100
0.899, 10000, 100
0.892, 10000, 100
0.89, 10000, 100
0.878, 10000, 100
0.886, 10000, 100
0.867, 10000, 100
0.908, 10000, 100
0.875, 10000, 100
0.878, 10000, 1000
0.883, 10000, 1000
0.893, 10000, 1000
0.885, 10000, 1000
0.865, 10000, 1000
0.89, 10000, 1000
0.89, 10000, 1000
0.891, 10000, 1000
0.894, 10000, 1000
0.887, 10000, 1000
0.878, 10000, 10000
0.88, 10000, 10000
0.886, 10000, 10000
0.899, 10000, 10000
0.884, 10000, 10000
0.872, 10000, 10000
0.903, 10000, 10000
0.895, 10000, 10000
0.903, 10000, 10000
0.882, 10000, 10000
0.879, 10000, 100000
0.902, 10000, 100000
0.893, 10000, 100000
0.88, 10000, 100000
0.901, 10000, 100000
0.894, 10000, 100000
0.905, 10000, 100000
0.885, 10000, 100000
0.87, 10000, 100000
0.886, 10000, 100000
0.051, 10000, 10
0.045, 10000, 10
0.045, 10000, 10
0.036, 10000, 10
0.034, 10000, 10
0.029, 10000, 10
0.038, 10000, 10
0.05, 10000, 10
0.043, 10000, 10
0.037, 10000, 10
0.879, 10000, 100
0.894, 10000, 100
0.874, 10000, 100
0.888, 10000, 100
0.877, 10000, 100
0.874, 10000, 100
0.877, 10000, 100
0.874, 10000, 100
0.889, 10000, 100
0.879, 10000, 100
0.88, 10000, 1000
0.888, 10000, 1000
0.899, 10000, 1000
0.897, 10000, 1000
0.883, 10000, 1000
0.876, 10000, 1000
0.873, 10000, 1000
0.87, 10000, 1000
0.892, 10000, 1000
0.868, 10000, 1000
0.883, 10000, 10000
0.898, 10000, 10000
0.897, 10000, 10000
0.886, 10000, 10000
0.9, 10000, 10000
0.882, 10000, 10000
0.876, 10000, 10000
0.888, 10000, 10000
0.888, 10000, 10000
0.892, 10000, 10000
0.89, 10000, 100000
0.881, 10000, 100000
0.875, 10000, 100000
0.884, 10000, 100000
0.888, 10000, 100000
0.874, 10000, 100000
0.888, 10000, 100000
0.899, 10000, 100000
0.889, 10000, 100000
0.88, 10000, 100000
0.049, 10000, 10
0.053, 10000, 10
0.037, 10000, 10
0.053, 10000, 10
0.042, 10000, 10
0.034, 10000, 10
0.048, 10000, 10
0.024, 10000, 10
0.043, 10000, 10
0.042, 10000, 10
0.871, 10000, 100
0.879, 10000, 100
0.881, 10000, 100
0.879, 10000, 100
0.883, 10000, 100
0.878, 10000, 100
0.897, 10000, 100
0.88, 10000, 100
0.88, 10000, 100
0.886, 10000, 100
0.893, 10000, 1000
0.883, 10000, 1000
0.886, 10000, 1000
0.889, 10000, 1000
0.904, 10000, 1000
0.88, 10000, 1000
0.882, 10000, 1000
0.885, 10000, 1000
0.879, 10000, 1000
0.901, 10000, 1000
0.875, 10000, 10000
0.881, 10000, 10000
0.88, 10000, 10000
0.875, 10000, 10000
0.867, 10000, 10000
0.877, 10000, 10000
0.888, 10000, 10000
0.875, 10000, 10000
0.897, 10000, 10000
0.89, 10000, 10000
0.889, 10000, 100000
0.872, 10000, 100000
0.903, 10000, 100000
0.888, 10000, 100000
0.885, 10000, 100000
0.89, 10000, 100000
0.902, 10000, 100000
0.888, 10000, 100000
0.893, 10000, 100000
0.891, 10000, 100000
0.05, 10000, 10
0.038, 10000, 10
0.049, 10000, 10
0.033, 10000, 10
0.042, 10000, 10
0.045, 10000, 10
0.039, 10000, 10
0.036, 10000, 10
0.04, 10000, 10
0.035, 10000, 10
0.882, 10000, 100
0.885, 10000, 100
0.874, 10000, 100
0.867, 10000, 100
0.874, 10000, 100
0.867, 10000, 100
0.869, 10000, 100
0.886, 10000, 100
0.88, 10000, 100
0.881, 10000, 100
0.875, 10000, 1000
0.887, 10000, 1000
0.889, 10000, 1000
0.881, 10000, 1000
0.893, 10000, 1000
0.882, 10000, 1000
0.892, 10000, 1000
0.883, 10000, 1000
0.9, 10000, 1000
0.889, 10000, 1000
0.878, 10000, 10000
0.885, 10000, 10000
0.89, 10000, 10000
0.881, 10000, 10000
0.902, 10000, 10000
0.887, 10000, 10000
0.886, 10000, 10000
0.872, 10000, 10000
0.882, 10000, 10000
0.89, 10000, 10000
0.899, 10000, 100000
0.887, 10000, 100000
0.867, 10000, 100000
0.886, 10000, 100000
0.876, 10000, 100000
0.883, 10000, 100000
0.899, 10000, 100000
0.898, 10000, 100000
0.883, 10000, 100000
0.899, 10000, 100000
0.037, 10000, 10
0.051, 10000, 10
0.043, 10000, 10
0.054, 10000, 10
0.045, 10000, 10
0.04, 10000, 10
0.049, 10000, 10
0.037, 10000, 10
0.04, 10000, 10
0.044, 10000, 10
0.898, 10000, 100
0.877, 10000, 100
0.874, 10000, 100
0.883, 10000, 100
0.879, 10000, 100
0.891, 10000, 100
0.894, 10000, 100
0.87, 10000, 100
0.879, 10000, 100
0.898, 10000, 100
0.886, 10000, 1000
0.895, 10000, 1000
0.892, 10000, 1000
0.877, 10000, 1000
0.879, 10000, 1000
0.874, 10000, 1000
0.878, 10000, 1000
0.875, 10000, 1000
0.868, 10000, 1000
0.887, 10000, 1000
0.892, 10000, 10000
0.884, 10000, 10000
0.884, 10000, 10000
0.887, 10000, 10000
0.884, 10000, 10000
0.884, 10000, 10000
0.881, 10000, 10000
0.878, 10000, 10000
0.892, 10000, 10000
0.891, 10000, 10000
0.881, 10000, 100000
0.888, 10000, 100000
0.872, 10000, 100000
0.872, 10000, 100000
0.877, 10000, 100000
0.876, 10000, 100000
0.882, 10000, 100000
0.874, 10000, 100000
0.891, 10000, 100000
0.885, 10000, 100000
0.032, 10000, 10
0.037, 10000, 10
0.046, 10000, 10
0.033, 10000, 10
0.042, 10000, 10
0.044, 10000, 10
0.057, 10000, 10
0.044, 10000, 10
0.037, 10000, 10
0.044, 10000, 10
0.899, 10000, 100
0.884, 10000, 100
0.894, 10000, 100
0.88, 10000, 100
0.882, 10000, 100
0.877, 10000, 100
0.883, 10000, 100
0.876, 10000, 100
0.889, 10000, 100
0.887, 10000, 100
0.876, 10000, 1000
0.879, 10000, 1000
0.901, 10000, 1000
0.905, 10000, 1000
0.886, 10000, 1000
0.867, 10000, 1000
0.862, 10000, 1000
0.899, 10000, 1000
0.863, 10000, 1000
0.893, 10000, 1000
0.897, 10000, 10000
0.888, 10000, 10000
0.891, 10000, 10000
0.882, 10000, 10000
0.873, 10000, 10000
0.875, 10000, 10000
0.878, 10000, 10000
0.904, 10000, 10000
0.884, 10000, 10000
0.896, 10000, 10000
0.908, 10000, 100000
0.877, 10000, 100000
0.89, 10000, 100000
0.908, 10000, 100000
0.893, 10000, 100000
0.885, 10000, 100000
0.882, 10000, 100000
0.886, 10000, 100000
0.877, 10000, 100000
0.876, 10000, 100000
0.038, 10000, 10
0.041, 10000, 10
0.034, 10000, 10
0.05, 10000, 10
0.039, 10000, 10
0.041, 10000, 10
0.038, 10000, 10
0.047, 10000, 10
0.036, 10000, 10
0.045, 10000, 10
0.886, 10000, 100
0.888, 10000, 100
0.873, 10000, 100
0.887, 10000, 100
0.876, 10000, 100
0.893, 10000, 100
0.9, 10000, 100
0.862, 10000, 100
0.894, 10000, 100
0.874, 10000, 100
0.887, 10000, 1000
0.898, 10000, 1000
0.878, 10000, 1000
0.9, 10000, 1000
0.88, 10000, 1000
0.879, 10000, 1000
0.893, 10000, 1000
0.902, 10000, 1000
0.891, 10000, 1000
0.893, 10000, 1000
0.88, 10000, 10000
0.892, 10000, 10000
0.877, 10000, 10000
0.876, 10000, 10000
0.868, 10000, 10000
0.876, 10000, 10000
0.878, 10000, 10000
0.894, 10000, 10000
0.894, 10000, 10000
0.895, 10000, 10000
0.874, 10000, 100000
0.895, 10000, 100000
0.901, 10000, 100000
0.89, 10000, 100000
0.885, 10000, 100000
0.896, 10000, 100000
0.881, 10000, 100000
0.887, 10000, 100000
0.893, 10000, 100000
0.87, 10000, 100000
0.056, 10000, 10
0.046, 10000, 10
0.039, 10000, 10
0.035, 10000, 10
0.05, 10000, 10
0.035, 10000, 10
0.05, 10000, 10
0.027, 10000, 10
0.04, 10000, 10
0.038, 10000, 10
0.892, 10000, 100
0.9, 10000, 100
0.87, 10000, 100
0.886, 10000, 100
0.888, 10000, 100
0.89, 10000, 100
0.866, 10000, 100
0.883, 10000, 100
0.889, 10000, 100
0.897, 10000, 100
0.886, 10000, 1000
0.893, 10000, 1000
0.883, 10000, 1000
0.884, 10000, 1000
0.894, 10000, 1000
0.886, 10000, 1000
0.9, 10000, 1000
0.88, 10000, 1000
0.88, 10000, 1000
0.884, 10000, 1000
0.889, 10000, 10000
0.896, 10000, 10000
0.895, 10000, 10000
0.884, 10000, 10000
0.887, 10000, 10000
0.879, 10000, 10000
0.886, 10000, 10000
0.891, 10000, 10000
0.875, 10000, 10000
0.877, 10000, 10000
0.879, 10000, 100000
0.877, 10000, 100000
0.887, 10000, 100000
0.899, 10000, 100000
0.87, 10000, 100000
0.878, 10000, 100000
0.89, 10000, 100000
0.879, 10000, 100000
0.871, 10000, 100000
0.867, 10000, 100000
0.041, 10000, 10
0.037, 10000, 10
0.035, 10000, 10
0.034, 10000, 10
0.043, 10000, 10
0.046, 10000, 10
0.042, 10000, 10
0.045, 10000, 10
0.041, 10000, 10
0.048, 10000, 10
0.887, 10000, 100
0.889, 10000, 100
0.865, 10000, 100
0.871, 10000, 100
0.895, 10000, 100
0.888, 10000, 100
0.881, 10000, 100
0.88, 10000, 100
0.88, 10000, 100
0.884, 10000, 100
0.893, 10000, 1000
0.87, 10000, 1000
0.891, 10000, 1000
0.885, 10000, 1000
0.896, 10000, 1000
0.877, 10000, 1000
0.899, 10000, 1000
0.886, 10000, 1000
0.907, 10000, 1000
0.893, 10000, 1000
0.89, 10000, 10000
0.886, 10000, 10000
0.914, 10000, 10000
0.874, 10000, 10000
0.873, 10000, 10000
0.882, 10000, 10000
0.884, 10000, 10000
0.895, 10000, 10000
0.889, 10000, 10000
0.889, 10000, 10000
0.863, 10000, 100000
0.887, 10000, 100000
0.881, 10000, 100000
0.868, 10000, 100000
0.886, 10000, 100000
0.902, 10000, 100000
0.872, 10000, 100000
0.904, 10000, 100000
0.901, 10000, 100000
0.877, 10000, 100000
0.044, 10000, 10
0.031, 10000, 10
0.047, 10000, 10
0.051, 10000, 10
0.045, 10000, 10
0.038, 10000, 10
0.043, 10000, 10
0.053, 10000, 10
0.048, 10000, 10
0.058, 10000, 10
0.877, 10000, 100
0.884, 10000, 100
0.902, 10000, 100
0.882, 10000, 100
0.897, 10000, 100
0.877, 10000, 100
0.875, 10000, 100
0.877, 10000, 100
0.843, 10000, 100
0.866, 10000, 100
0.889, 10000, 1000
0.886, 10000, 1000
0.874, 10000, 1000
0.874, 10000, 1000
0.878, 10000, 1000
0.868, 10000, 1000
0.864, 10000, 1000
0.904, 10000, 1000
0.889, 10000, 1000
0.885, 10000, 1000
0.893, 10000, 10000
0.88, 10000, 10000
0.893, 10000, 10000
0.875, 10000, 10000
0.881, 10000, 10000
0.893, 10000, 10000
0.876, 10000, 10000
0.888, 10000, 10000
0.893, 10000, 10000
0.896, 10000, 10000
0.9, 10000, 100000
0.896, 10000, 100000
0.88, 10000, 100000
0.886, 10000, 100000
0.878, 10000, 100000
0.896, 10000, 100000
0.891, 10000, 100000
0.895, 10000, 100000
0.873, 10000, 100000
0.876, 10000, 100000
0.048, 100000, 10
0.041, 100000, 10
0.042, 100000, 10
0.036, 100000, 10
0.043, 100000, 10
0.034, 100000, 10
0.048, 100000, 10
0.038, 100000, 10
0.046, 100000, 10
0.045, 100000, 10
0.882, 100000, 100
0.875, 100000, 100
0.883, 100000, 100
0.872, 100000, 100
0.868, 100000, 100
0.873, 100000, 100
0.875, 100000, 100
0.881, 100000, 100
0.876, 100000, 100
0.879, 100000, 100
0.875, 100000, 1000
0.888, 100000, 1000
0.887, 100000, 1000
0.889, 100000, 1000
0.885, 100000, 1000
0.893, 100000, 1000
0.881, 100000, 1000
0.88, 100000, 1000
0.888, 100000, 1000
0.883, 100000, 1000
0.879, 100000, 10000
0.889, 100000, 10000
0.882, 100000, 10000
0.902, 100000, 10000
0.866, 100000, 10000
0.896, 100000, 10000
0.9, 100000, 10000
0.869, 100000, 10000
0.879, 100000, 10000
0.896, 100000, 10000
0.869, 100000, 100000
0.892, 100000, 100000
0.903, 100000, 100000
0.9, 100000, 100000
0.872, 100000, 100000
0.887, 100000, 100000
0.896, 100000, 100000
0.889, 100000, 100000
0.87, 100000, 100000
0.872, 100000, 100000
0.04, 100000, 10
0.048, 100000, 10
0.047, 100000, 10
0.05, 100000, 10
0.047, 100000, 10
0.041, 100000, 10
0.032, 100000, 10
0.05, 100000, 10
0.039, 100000, 10
0.046, 100000, 10
0.881, 100000, 100
0.885, 100000, 100
0.879, 100000, 100
0.902, 100000, 100
0.872, 100000, 100
0.885, 100000, 100
0.866, 100000, 100
0.887, 100000, 100
0.875, 100000, 100
0.861, 100000, 100
0.887, 100000, 1000
0.881, 100000, 1000
0.91, 100000, 1000
0.886, 100000, 1000
0.879, 100000, 1000
0.906, 100000, 1000
0.862, 100000, 1000
0.885, 100000, 1000
0.88, 100000, 1000
0.898, 100000, 1000
0.907, 100000, 10000
0.88, 100000, 10000
0.888, 100000, 10000
0.886, 100000, 10000
0.913, 100000, 10000
0.887, 100000, 10000
0.886, 100000, 10000
0.897, 100000, 10000
0.892, 100000, 10000
0.885, 100000, 10000
0.888, 100000, 100000
0.881, 100000, 100000
0.877, 100000, 100000
0.89, 100000, 100000
0.893, 100000, 100000
0.879, 100000, 100000
0.898, 100000, 100000
0.876, 100000, 100000
0.883, 100000, 100000
0.887, 100000, 100000
0.054, 100000, 10
0.033, 100000, 10
0.038, 100000, 10
0.027, 100000, 10
0.044, 100000, 10
0.04, 100000, 10
0.036, 100000, 10
0.052, 100000, 10
0.047, 100000, 10
0.041, 100000, 10
0.889, 100000, 100
0.886, 100000, 100
0.87, 100000, 100
0.884, 100000, 100
0.872, 100000, 100
0.881, 100000, 100
0.883, 100000, 100
0.868, 100000, 100
0.898, 100000, 100
0.897, 100000, 100
0.892, 100000, 1000
0.877, 100000, 1000
0.866, 100000, 1000
0.887, 100000, 1000
0.89, 100000, 1000
0.89, 100000, 1000
0.88, 100000, 1000
0.908, 100000, 1000
0.864, 100000, 1000
0.899, 100000, 1000
0.902, 100000, 10000
0.89, 100000, 10000
0.882, 100000, 10000
0.868, 100000, 10000
0.879, 100000, 10000
0.863, 100000, 10000
0.896, 100000, 10000
0.886, 100000, 10000
0.9, 100000, 10000
0.865, 100000, 10000
0.893, 100000, 100000
0.878, 100000, 100000
0.876, 100000, 100000
0.874, 100000, 100000
0.86, 100000, 100000
0.893, 100000, 100000
0.891, 100000, 100000
0.892, 100000, 100000
0.874, 100000, 100000
0.908, 100000, 100000
0.049, 100000, 10
0.046, 100000, 10
0.033, 100000, 10
0.035, 100000, 10
0.055, 100000, 10
0.04, 100000, 10
0.043, 100000, 10
0.039, 100000, 10
0.043, 100000, 10
0.045, 100000, 10
0.887, 100000, 100
0.89, 100000, 100
0.883, 100000, 100
0.882, 100000, 100
0.873, 100000, 100
0.865, 100000, 100
0.872, 100000, 100
0.872, 100000, 100
0.898, 100000, 100
0.888, 100000, 100
0.876, 100000, 1000
0.888, 100000, 1000
0.896, 100000, 1000
0.89, 100000, 1000
0.871, 100000, 1000
0.889, 100000, 1000
0.885, 100000, 1000
0.892, 100000, 1000
0.891, 100000, 1000
0.876, 100000, 1000
0.886, 100000, 10000
0.886, 100000, 10000
0.894, 100000, 10000
0.888, 100000, 10000
0.889, 100000, 10000
0.875, 100000, 10000
0.894, 100000, 10000
0.892, 100000, 10000
0.887, 100000, 10000
0.898, 100000, 10000
0.877, 100000, 100000
0.89, 100000, 100000
0.892, 100000, 100000
0.882, 100000, 100000
0.871, 100000, 100000
0.908, 100000, 100000
0.894, 100000, 100000
0.869, 100000, 100000
0.904, 100000, 100000
0.884, 100000, 100000
0.043, 100000, 10
0.04, 100000, 10
0.044, 100000, 10
0.043, 100000, 10
0.039, 100000, 10
0.041, 100000, 10
0.031, 100000, 10
0.043, 100000, 10
0.027, 100000, 10
0.039, 100000, 10
0.868, 100000, 100
0.884, 100000, 100
0.882, 100000, 100
0.886, 100000, 100
0.878, 100000, 100
0.886, 100000, 100
0.891, 100000, 100
0.887, 100000, 100
0.866, 100000, 100
0.872, 100000, 100
0.888, 100000, 1000
0.888, 100000, 1000
0.89, 100000, 1000
0.893, 100000, 1000
0.883, 100000, 1000
0.865, 100000, 1000
0.883, 100000, 1000
0.891, 100000, 1000
0.875, 100000, 1000
0.873, 100000, 1000
0.886, 100000, 10000
0.89, 100000, 10000
0.895, 100000, 10000
0.886, 100000, 10000
0.898, 100000, 10000
0.872, 100000, 10000
0.903, 100000, 10000
0.894, 100000, 10000
0.88, 100000, 10000
0.884, 100000, 10000
0.883, 100000, 100000
0.887, 100000, 100000
0.893, 100000, 100000
0.861, 100000, 100000
0.9, 100000, 100000
0.893, 100000, 100000
0.878, 100000, 100000
0.887, 100000, 100000
0.9, 100000, 100000
0.881, 100000, 100000
0.039, 100000, 10
0.047, 100000, 10
0.058, 100000, 10
0.042, 100000, 10
0.036, 100000, 10
0.042, 100000, 10
0.049, 100000, 10
0.043, 100000, 10
0.043, 100000, 10
0.045, 100000, 10
0.897, 100000, 100
0.862, 100000, 100
0.893, 100000, 100
0.871, 100000, 100
0.899, 100000, 100
0.872, 100000, 100
0.884, 100000, 100
0.879, 100000, 100
0.89, 100000, 100
0.885, 100000, 100
0.879, 100000, 1000
0.894, 100000, 1000
0.888, 100000, 1000
0.892, 100000, 1000
0.884, 100000, 1000
0.878, 100000, 1000
0.896, 100000, 1000
0.89, 100000, 1000
0.885, 100000, 1000
0.873, 100000, 1000
0.878, 100000, 10000
0.893, 100000, 10000
0.878, 100000, 10000
0.903, 100000, 10000
0.89, 100000, 10000
0.883, 100000, 10000
0.895, 100000, 10000
0.895, 100000, 10000
0.887, 100000, 10000
0.885, 100000, 10000
0.9, 100000, 100000
0.88, 100000, 100000
0.902, 100000, 100000
0.881, 100000, 100000
0.895, 100000, 100000
0.902, 100000, 100000
0.892, 100000, 100000
0.872, 100000, 100000
0.887, 100000, 100000
0.887, 100000, 100000
0.05, 100000, 10
0.035, 100000, 10
0.045, 100000, 10
0.035, 100000, 10
0.034, 100000, 10
0.035, 100000, 10
0.044, 100000, 10
0.051, 100000, 10
0.035, 100000, 10
0.036, 100000, 10
0.869, 100000, 100
0.881, 100000, 100
0.893, 100000, 100
0.878, 100000, 100
0.883, 100000, 100
0.868, 100000, 100
0.89, 100000, 100
0.871, 100000, 100
0.877, 100000, 100
0.875, 100000, 100
0.897, 100000, 1000
0.875, 100000, 1000
0.896, 100000, 1000
0.883, 100000, 1000
0.91, 100000, 1000
0.888, 100000, 1000
0.882, 100000, 1000
0.881, 100000, 1000
0.891, 100000, 1000
0.896, 100000, 1000
0.886, 100000, 10000
0.877, 100000, 10000
0.872, 100000, 10000
0.881, 100000, 10000
0.9, 100000, 10000
0.904, 100000, 10000
0.896, 100000, 10000
0.878, 100000, 10000
0.883, 100000, 10000
0.879, 100000, 10000
0.891, 100000, 100000
0.879, 100000, 100000
0.902, 100000, 100000
0.893, 100000, 100000
0.899, 100000, 100000
0.896, 100000, 100000
0.891, 100000, 100000
0.887, 100000, 100000
0.889, 100000, 100000
0.898, 100000, 100000
0.039, 100000, 10
0.043, 100000, 10
0.042, 100000, 10
0.05, 100000, 10
0.036, 100000, 10
0.037, 100000, 10
0.05, 100000, 10
0.049, 100000, 10
0.049, 100000, 10
0.039, 100000, 10
0.876, 100000, 100
0.88, 100000, 100
0.889, 100000, 100
0.878, 100000, 100
0.869, 100000, 100
0.891, 100000, 100
0.88, 100000, 100
0.882, 100000, 100
0.903, 100000, 100
0.861, 100000, 100
0.864, 100000, 1000
0.859, 100000, 1000
0.885, 100000, 1000
0.89, 100000, 1000
0.891, 100000, 1000
0.886, 100000, 1000
0.885, 100000, 1000
0.891, 100000, 1000
0.861, 100000, 1000
0.881, 100000, 1000
0.887, 100000, 10000
0.862, 100000, 10000
0.872, 100000, 10000
0.875, 100000, 10000
0.892, 100000, 10000
0.877, 100000, 10000
0.873, 100000, 10000
0.893, 100000, 10000
0.896, 100000, 10000
0.887, 100000, 10000
0.892, 100000, 100000
0.879, 100000, 100000
0.894, 100000, 100000
0.891, 100000, 100000
0.9, 100000, 100000
0.875, 100000, 100000
0.867, 100000, 100000
0.896, 100000, 100000
0.883, 100000, 100000
0.894, 100000, 100000
0.041, 100000, 10
0.042, 100000, 10
0.04, 100000, 10
0.051, 100000, 10
0.041, 100000, 10
0.034, 100000, 10
0.041, 100000, 10
0.053, 100000, 10
0.033, 100000, 10
0.042, 100000, 10
0.89, 100000, 100
0.877, 100000, 100
0.865, 100000, 100
0.878, 100000, 100
0.885, 100000, 100
0.889, 100000, 100
0.888, 100000, 100
0.871, 100000, 100
0.87, 100000, 100
0.892, 100000, 100
0.897, 100000, 1000
0.894, 100000, 1000
0.877, 100000, 1000
0.886, 100000, 1000
0.891, 100000, 1000
0.888, 100000, 1000
0.885, 100000, 1000
0.876, 100000, 1000
0.897, 100000, 1000
0.878, 100000, 1000
0.879, 100000, 10000
0.891, 100000, 10000
0.891, 100000, 10000
0.897, 100000, 10000
0.902, 100000, 10000
0.888, 100000, 10000
0.869, 100000, 10000
0.891, 100000, 10000
0.888, 100000, 10000
0.877, 100000, 10000
0.869, 100000, 100000
0.868, 100000, 100000
0.906, 100000, 100000
0.874, 100000, 100000
0.9, 100000, 100000
0.889, 100000, 100000
0.888, 100000, 100000
0.869, 100000, 100000
0.886, 100000, 100000
0.882, 100000, 100000
0.043, 100000, 10
0.043, 100000, 10
0.049, 100000, 10
0.046, 100000, 10
0.049, 100000, 10
0.043, 100000, 10
0.05, 100000, 10
0.039, 100000, 10
0.048, 100000, 10
0.034, 100000, 10
0.886, 100000, 100
0.871, 100000, 100
0.879, 100000, 100
0.896, 100000, 100
0.884, 100000, 100
0.894, 100000, 100
0.888, 100000, 100
0.887, 100000, 100
0.886, 100000, 100
0.887, 100000, 100
0.884, 100000, 1000
0.876, 100000, 1000
0.878, 100000, 1000
0.882, 100000, 1000
0.888, 100000, 1000
0.876, 100000, 1000
0.902, 100000, 1000
0.887, 100000, 1000
0.872, 100000, 1000
0.891, 100000, 1000
0.887, 100000, 10000
0.885, 100000, 10000
0.884, 100000, 10000
0.879, 100000, 10000
0.891, 100000, 10000
0.898, 100000, 10000
0.892, 100000, 10000
0.88, 100000, 10000
0.887, 100000, 10000
0.902, 100000, 10000
0.902, 100000, 100000
0.89, 100000, 100000
